Product_ID,Unit_Cost,Unit_Price,category_id
1052,152.75,267.22,1
1093,3816.39,4209.44,1
1015,261.56,371.4,2
1072,4330.03,4467.75,3
1061,637.37,692.71,4
1021,900.79,1106.51,2
1083,2408.81,2624.09,1
1087,3702.51,3964.65,1
1075,738.06,1095.4499999999998,1
1075,2228.35,2682.34,3
1088,2440.11,2517.6,1
1100,1100.81,1137.44,2
1024,622.01,641.09,2
1003,4190.28,4270.65,1
1022,2537.2,2869.6,2
1053,121.19,487.65,1
1002,4024.76,4420.150000000001,1
1088,4904.93,5034.35,4
1030,3049.33,3209.22,3
1038,2543.36,2790.1000000000004,3
1002,4398.16,4439.12,4
1064,4764.96,5074.42,4
1060,3784.96,4276.99,3
1021,2254.99,2441.79,1
1033,2981.5,3360.4,1
1076,3519.63,3774.65,3
1058,1011.65,1084.28,1
1022,2263.65,2558.9500000000003,4
1089,4157.62,4314.56,1
1049,3290.89,3317.75,1
1091,2085.46,2406.58,2
1059,3333.64,3764.52,2
1042,635.2,814.1400000000001,2
1092,2037.41,2238.65,1
1060,3975.99,4422.59,3
1080,1141.52,1550.19,4
1015,970.51,1330.84,1
1062,4756.55,4888.46,3
1062,1088.99,1545.0,1
1047,1341.55,1427.21,4
1062,4849.6,5166.72,1
1051,3686.81,3710.92,4
1055,3513.0,3838.42,1
1064,4271.99,4417.79,4
1003,623.32,853.6600000000001,1
1051,3544.48,3723.66,4
1007,2543.26,2637.9100000000003,2
1021,4154.3,4469.07,1
1073,2565.3,3007.4700000000003,1
1039,3120.19,3600.14,3
1018,2414.82,2519.07,3
1004,2416.89,2778.4,4
1089,3851.45,4186.98,1
1060,3161.4,3339.66,4
1014,3184.65,3204.01,2
1009,2278.9,2626.9,3
1090,2678.99,3152.28,4
1053,3741.3,4061.04,4
1002,4138.41,4361.7,3
1084,3497.98,3765.31,1
1092,4624.16,4731.98,4
1060,4110.6,4488.370000000001,3
1071,2831.23,3206.98,1
1044,3373.46,3454.76,2
1008,4635.23,5075.44,3
1047,3114.88,3256.78,4
1035,4132.79,4624.1,2
1078,3459.61,3657.23,1
1081,2782.08,2879.24,1
1036,1247.1,1429.4399999999998,3
1050,2158.69,2384.38,3
1004,4840.33,4884.29,3
1002,3305.94,3599.27,1
1006,2843.76,3146.6000000000004,2
1054,4668.14,5040.22,1
1004,2953.23,2977.52,4
1054,2654.11,2929.32,1
1093,3808.59,3844.51,4
1063,3577.69,3931.25,2
1018,1006.14,1043.45,3
1090,2382.98,2839.73,3
1044,2388.95,2742.97,1
1034,1922.21,2180.83,3
1074,2610.6,2836.94,2
1062,2094.88,2168.9100000000003,3
1100,1036.76,1189.35,1
1014,2091.21,2527.0,2
1095,407.77,860.95,4
1048,2900.14,2910.51,1
1015,4275.59,4576.72,4
1072,3640.17,4002.63,2
1078,1833.95,2147.14,1
1087,481.0,531.02,1
1062,1050.64,1167.3300000000002,2
1040,2750.18,2882.85,3
1085,1074.93,1492.48,1
1080,2742.67,2979.64,1
1082,1196.42,1444.97,4
1053,4252.17,4720.27,3
1024,2016.49,2338.66,4
1026,1265.48,1715.83,4
1089,4071.01,4304.7,3
1060,1747.05,1830.27,3
1041,601.86,1067.53,2
1029,2873.53,3108.3,3
1015,2928.74,3027.74,1
1045,3587.74,3745.91,3
1065,1239.09,1273.98,2
1089,2246.67,2486.14,2
1071,1447.72,1875.75,2
1009,450.72,918.17,3
1088,4389.24,4856.219999999999,3
1001,3657.91,3729.27,4
1008,1542.24,1739.45,4
1088,3016.9,3040.73,1
1063,1046.26,1475.29,4
1011,4456.67,4642.46,1
1081,618.79,938.04,2
1008,68.99,429.29,4
1035,2534.94,2755.56,3
1035,2936.48,3096.64,4
1033,2915.88,3397.36,1
1005,319.83,802.4300000000001,4
1041,1604.52,1756.34,2
1028,2521.03,2766.05,3
1007,1122.07,1608.76,1
1073,4369.5,4381.89,3
1072,481.19,693.4,3
1012,2462.55,2521.77,1
1034,3472.51,3732.0,3
1033,1345.67,1367.76,3
1048,3139.99,3349.37,4
1023,4155.46,4273.6,3
1062,992.17,1263.49,3
1088,4590.24,5088.28,3
1037,2790.11,3192.37,3
1099,1531.2,1955.56,1
1044,2182.75,2504.03,2
1086,1595.35,1625.7099999999998,4
1091,3639.3,3750.63,3
1035,3991.69,4454.97,3
1065,4173.04,4362.44,1
1099,4929.55,4990.33,2
1047,3966.86,4321.04,3
1078,3026.85,3183.58,1
1003,1729.14,1870.88,4
1001,2745.75,3244.76,4
1005,253.29,683.78,3
1090,3736.88,3946.77,3
1014,2257.48,2747.81,2
1027,149.11,477.67,2
1009,359.41,733.0,3
1079,1967.96,1993.4,1
1015,2937.94,3007.53,2
1090,2347.81,2668.02,3
1042,3115.06,3565.58,2
1077,2427.46,2743.09,3
1051,3325.43,3401.1,4
1063,1134.67,1201.39,3
1096,608.57,1032.22,4
1052,3002.35,3080.61,2
1096,2449.21,2714.12,3
1004,182.99,211.18,2
1094,1933.39,1982.92,4
1023,575.32,914.77,3
1015,2680.22,3027.92,2
1043,2009.1,2186.42,4
1029,3085.1,3200.75,2
1036,4037.73,4446.45,1
1013,1533.36,1649.7399999999998,4
1032,4812.41,5088.0,4
1071,2701.39,3185.81,4
1059,3110.54,3192.99,3
1086,3419.33,3890.36,3
1028,3350.32,3449.94,3
1066,2579.31,2867.36,1
1042,2172.38,2367.11,1
1045,316.22,799.04,4
1062,159.32,303.36,1
1057,1821.91,2027.74,2
1006,1701.62,2193.22,4
1028,1969.09,2241.96,4
1028,734.92,991.21,2
1044,3703.93,3840.24,4
1084,4291.97,4645.64,1
1030,4696.64,4713.68,3
1062,2487.19,2521.4500000000003,2
1075,3519.29,3822.98,1
1092,4284.98,4462.4,2
1089,2120.54,2597.67,2
1062,1581.59,2034.15,4
1097,4686.79,5046.51,4
1001,2602.6,3013.49,1
1027,2511.41,2848.4,2
1062,933.16,1004.7,4
1077,585.37,970.49,4
1003,4218.43,4331.42,2
1070,3089.96,3258.45,1
1072,1662.83,2074.25,1
1027,999.09,1271.99,2
1009,2799.71,3231.08,1
1062,2940.4,3054.79,4
1037,1074.62,1382.4299999999998,2
1097,4264.46,4315.52,4
1051,467.11,792.21,3
1044,1812.66,2196.3,3
1024,3417.9,3714.52,1
1079,1406.9,1547.35,3
1059,4146.99,4172.349999999999,4
1032,3712.35,3780.88,3
1096,3955.66,4270.59,4
1088,639.58,1107.45,1
1052,745.71,856.9100000000001,1
1062,1468.05,1838.21,4
1058,2614.48,3049.04,3
1052,3752.68,4017.91,1
1012,4190.83,4528.77,2
1039,3536.46,3945.82,1
1002,4646.55,4784.28,3
1003,3706.78,3862.26,2
1056,1566.03,1576.34,3
1081,1362.15,1844.07,4
1059,3496.15,3955.75,2
1002,1004.71,1389.35,3
1002,508.94,557.69,2
1092,2684.5,2913.78,3
1054,4117.13,4177.06,2
1087,551.83,569.63,3
1096,3969.86,4281.79,4
1097,4067.28,4548.09,2
1001,2437.26,2889.67,2
1019,333.69,685.1,2
1002,914.22,971.57,2
1053,3551.76,3696.1,4
1044,3573.3,3740.13,2
1090,4496.86,4880.799999999999,1
1032,2934.3,3337.4,4
1070,664.33,863.03,1
1032,651.0,865.76,2
1068,3619.61,3651.42,3
1055,959.73,1111.41,1
1075,1675.51,1906.64,2
1056,2461.7,2529.02,1
1017,172.59,404.69,2
1038,1281.65,1709.71,2
1024,2069.05,2363.9,2
1069,1434.2,1482.88,3
1098,725.03,828.9499999999999,1
1070,3653.66,3896.19,4
1086,4075.08,4262.21,4
1011,1324.52,1510.3,4
1016,3883.38,4152.72,4
1097,1958.49,2254.84,2
1073,2558.09,2958.55,1
1059,4287.21,4464.28,1
1070,3762.27,4166.95,3
1080,4035.33,4211.25,1
1093,727.38,764.54,1
1003,395.11,676.6600000000001,1
1020,4472.35,4770.42,3
1059,1969.78,2437.7,4
1036,1475.0,1840.77,1
1019,3637.25,4096.96,3
1090,4190.26,4645.35,3
1067,4319.32,4625.56,2
1019,1614.19,1882.79,3
1020,4268.45,4551.599999999999,4
1096,252.62,742.0,1
1071,295.82,684.6700000000001,3
1052,3136.42,3198.49,4
1033,362.38,753.81,3
1040,1656.82,1750.38,3
1039,3380.14,3609.34,3
1082,1719.47,1832.6,3
1001,939.02,1286.92,3
1011,1442.69,1882.57,4
1092,2315.0,2467.28,1
1057,2403.16,2453.35,1
1089,3925.85,4082.11,1
1050,3763.26,4102.72,1
1023,2311.25,2482.34,4
1031,4236.05,4382.320000000001,2
1094,615.47,715.84,2
1042,1314.0,1567.78,4
1099,4148.48,4293.69,4
1007,1921.07,2289.27,3
1016,4906.85,4954.39,3
1090,2357.95,2693.33,3
1060,3970.08,4096.48,1
1002,2041.42,2291.17,3
1001,2153.52,2303.7,2
1048,1945.27,2309.43,1
1012,3609.42,4082.62,3
1069,2760.21,3219.58,1
1037,4721.7,5017.58,2
1032,1291.91,1528.59,3
1009,547.79,958.76,2
1099,1996.64,2341.4700000000003,2
1019,3102.73,3202.68,2
1048,4310.95,4723.2,3
1080,1763.67,1983.82,4
1003,3286.24,3388.84,3
1020,1783.48,1931.56,2
1024,3105.24,3246.33,3
1054,4429.8,4694.21,2
1033,1195.22,1320.06,4
1024,2051.0,2121.55,1
1075,4966.66,5037.27,4
1072,4349.36,4645.17,4
1036,2844.97,3215.0,1
1038,2607.31,2774.86,3
1084,1458.77,1485.75,1
1099,2610.19,2682.53,3
1089,4248.5,4706.7,3
1099,3441.61,3693.45,2
1025,1485.72,1717.97,2
1093,1047.25,1075.89,1
1018,1362.78,1729.81,4
1082,890.31,1159.06,1
1066,523.42,632.4399999999999,3
1054,2124.72,2188.66,2
1035,610.83,808.69,1
1080,900.97,1321.18,1
1061,2759.26,3193.25,2
1041,864.77,1170.16,2
1100,366.2,732.69,2
1033,1621.07,1687.5,3
1068,1140.58,1438.76,2
1033,2600.76,2937.57,4
1014,556.72,665.07,1
1021,3771.27,4212.55,2
